139 (138),Sep 22 (1),PHA,,CHW,L,0-6,CG,0,9.0,2,0,0,2,0,
140,Sep 22 (2),PHA,,CHW,L,1-2,CG,0,9.0,6,0,0,6,0,
141,Sep 23,PHA,,CHW,L,2-5,CG,0,9.0,2,0,0,2,0,
142,Sep 24,PHA,,CHW,T,3-3,CG,0,16.0,4,0,1,5,0,
143,Sep 25 (1),PHA,,CHW,L,2-4,CG,40,9.0,3,1,0,4,1,LF
144,Sep 25 (2),PHA,,CHW,L,2-5,CG,41,9.0,2,0,0,2,0,LF
145,Sep 26 (1),PHA,,SLB,L,1-3,CG,40,9.0,3,0,0,3,0,LF
146,Sep 26 (2),PHA,,SLB,L,0-1,CG,36,9.0,0,0,0,0,0,LF
147,Sep 27 (1),PHA,,SLB,W,9-4,CG,0,9.0,2,0,0,2,0,
148,Sep 27 (2),PHA,,SLB,L,6-7,CG,0,9.0,2,0,0,2,0,
149,Sep 28,PHA,,SLB,W,8-3,CG,38,9.0,5,0,0,5,0,LF
150,Sep 29 (1),PHA,,DET,W,8-2,CG,0,9.0,0,0,0,0,0,
151,Sep 29 (2),PHA,,DET,L,1-9,CG,0,9.0,1,0,0,1,0,
152,Sep 30,PHA,,DET,L,0-6,CG,36,9.0,4,0,0,4,0,LF
153,Oct 2 (1),PHA,,CLE,L,3-8,CG,41,9.0,1,0,0,1,0,LF
154,Oct 2 (2),PHA,,CLE,L,2-6,CG,37,9.0,2,0,0,2,0,LF
155,Oct 3,PHA,,CLE,L,4-8,CG,44,11.0,3,1,0,4,0,LF
