6 (5),Apr 18,BSN,,PHI,L,9-10,GF,0, ,1,0,0,1,0,
7,Apr 19 (1),BSN,,PHI,L,3-5,CG,0,9.0,4,3,1,8,0,
8,Apr 19 (2),BSN,,PHI,L,6-7,CG,0,9.0,1,1,0,2,0,
9,Apr 21,BSN,@,BRO,W,9-5,CG,0,9.0,1,3,0,4,0,
10,Apr 24,BSN,@,BRO,W,3-0,CG,0,9.0,0,1,0,1,0,
11,Apr 25,BSN,@,NYG,L,1-3,CG,0,8.0,0,3,0,3,0,
12,Apr 26,BSN,@,NYG,L,3-6,CG,0,8.0,1,2,0,3,0,
13,Apr 27,BSN,@,NYG,L,5-12,CG,0,8.0,0,0,0,0,0,
15 (1),Apr 29,BSN,@,PHI,L,4-7,GF,0, ,2,2,1,5,0,
22 (6),May 8,BSN,,NYG,W,5-4,GF,0, ,0,1,1,2,0,
27 (4),May 13,BSN,,PIT,L,3-9,CG,0,9.0,2,3,1,6,0,
28,May 15,BSN,,PIT,L,10-12,CG,0,9.0,1,0,0,1,0,
29,May 16,BSN,,PIT,L,7-11,CG,0,9.0,0,0,1,1,0,
31 (1),May 18,BSN,,STL,L,1-3,CG,0,9.0,1,2,1,4,0,
32,May 19,BSN,,STL,L,3-5,CG,0,9.0,4,2,0,6,1,
33,May 20,BSN,,STL,L,1-4,CG,0,9.0,0,3,0,3,0,
34,May 22,BSN,,STL,L,1-3,CG,0,9.0,0,2,0,2,0,
35,May 23,BSN,,CHC,L,4-6,GS,0, ,1,0,0,1,0,
36,May 24,BSN,,CHC,L,2-4,CG,0,9.0,0,4,1,5,0,
