1,Apr 15,LAD,@,SFG,L,0-8,,11,2.1,1,0,0,1,0,P
3 (1),Apr 17,LAD,@,SFG,L,4-7,,11,3.0,0,2,0,2,1,P
6 (2),Apr 20,LAD,,SFG,L,2-12,,9,2.0,0,1,0,1,0,P
13 (6),Apr 29,LAD,,PIT,L,1-7,,2,0.2,0,0,0,0,0,P
15 (1),May 1,LAD,,PIT,L,3-8,,7,2.0,0,0,0,0,0,P
17 (1),May 3,LAD,,PIT,L,1-3,,4,1.1,0,0,0,0,0,P
18,May 4 (1),LAD,,PHI,W,8-7,,9,2.0,0,0,0,0,0,P
21 (2),May 6,LAD,,PHI,W,7-6,,3,1.0,0,0,0,0,0,P
25 (3),May 12,LAD,,SFG,L,3-12,,15,2.2,0,1,0,1,1,P
27 (1),May 14,LAD,@,CHC,L,3-7,,7,1.1,0,0,0,0,0,P
30 (2),May 17,LAD,@,STL,L,1-10,,2,0.0,0,0,0,0,0,P
41 (10),May 30 (2),LAD,@,CHC,L,8-10,,1,0.1,0,0,0,0,0,P
44 (2),Jun 3,LAD,,CIN,L,3-8,,3,0.1,0,0,0,0,0,P
46 (1),Jun 5,LAD,,CIN,L,4-8,,2,0.0,0,0,0,0,0,P
139 (92),Sep 10,LAD,@,PHI,L,6-8,,9,2.0,0,0,0,0,0,P
142 (2),Sep 13,LAD,@,PIT,L,4-9,,1,0.1,0,0,0,0,0,P
145 (2),Sep 16 (1),LAD,@,CIN,L,3-5,,6,1.1,0,1,0,1,0,P
149 (3),Sep 21,LAD,@,CHC,W,2-1,,1,0.0,0,0,0,0,0,P
154 (4),Sep 27,LAD,,CHC,L,4-7,,4,1.2,0,1,0,1,1,P
