1,Apr 1,PHI,@,LAD,W,3-0,CG,30,9.0,10,1,0,11,2,1B
2,Apr 2,PHI,@,LAD,L,1-5,CG,34,8.0,9,1,0,10,2,1B
4 (1),Apr 4,PHI,@,SDP,L,3-13,CG,43,8.0,6,0,0,6,0,1B
5,Apr 5,PHI,@,SDP,L,1-4,CG,41,8.0,4,1,0,5,1,1B
6,Apr 6,PHI,@,SDP,W,3-2,GF,6,2.0,1,0,0,1,0,1B
7,Apr 7,PHI,@,SFG,L,3-4,CG,35,8.0,4,0,0,4,0,1B
8,Apr 8,PHI,@,SFG,W,2-1,CG,33,9.0,7,1,0,8,0,1B
10 (1),Apr 11,PHI,,SDP,L,3-8,CG,41,9.0,12,2,0,14,1,1B
11,Apr 13,PHI,,SDP,L,1-3,CG,36,9.0,7,4,0,11,3,1B
12,Apr 15,PHI,,SFG,L,4-8,CG,43,9.0,9,1,0,10,0,1B
13,Apr 16,PHI,,SFG,L,5-6,CG,45,10.0,8,3,0,11,1,1B
14,Apr 18,PHI,,MON,W,8-3,CG,34,9.0,11,0,0,11,1,1B
15,Apr 19,PHI,,MON,W,10-8,CG,41,9.0,8,1,0,9,0,1B
16,Apr 20 (1),PHI,,MON,L,1-5,CG,39,9.0,9,1,0,10,2,1B
17,Apr 20 (2),PHI,,MON,L,0-3,CG,36,9.0,8,0,0,8,0,1B
18,Apr 21,PHI,@,PIT,W,10-2,CG,36,9.0,9,0,0,9,0,1B
19,Apr 23,PHI,@,PIT,L,2-3,CG,32,8.0,4,3,0,7,0,1B
20,Apr 25,PHI,@,CIN,W,10-7,CG,45,9.0,6,1,0,7,0,1B
21,Apr 26,PHI,@,CIN,L,2-10,CG,45,8.0,6,0,0,6,0,1B
22,Apr 28,PHI,,PIT,L,4-9,CG,55,12.0,10,3,0,13,2,1B
23,Apr 29,PHI,,PIT,W,8-2,CG,37,9.0,5,0,0,5,0,1B
24,Apr 30,PHI,,LAD,L,5-7,CG,41,9.0,11,0,0,11,0,1B
25,May 1,PHI,,LAD,L,0-5,CG,34,9.0,6,0,0,6,1,1B
26,May 2,PHI,@,COL,W,7-4,CG,36,9.0,13,0,0,13,1,1B
27,May 3,PHI,@,COL,L,3-7,CG,40,8.0,5,2,0,7,0,1B
