71,1,Apr 5,CHC,,STL,L,0-3,7-GF,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.500,.000,.500,7,.71,0.039,0.31,2.00,0.75,PH 2B
72,2,Apr 8,CHC,,STL,W,2-0,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.200,.000,.200,7,.67,-0.050,-0.46,0.00,-0.75,2B
73,3,Apr 10,CHC,@,COL,L,1-5,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.222,.000,.222,9,1.08,-0.040,-0.40,2.00,0.25,2B
74,4,Apr 11,CHC,@,COL,W,9-5,CG,4,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.000,.308,.000,.308,9,.55,0.032,0.17,8.00,3.50,2B 3B
75,5,Apr 12,CHC,@,COL,W,6-5,CG,4,3,2,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,.000,.294,.000,.294,7,1.41,0.045,0.34,11.00,4.25,2B
76,6,Apr 13,CHC,,CIN,W,7-6,CG(10),5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.059,.273,.059,.332,6,1.87,0.096,0.49,5.00,1.00,2B
77,7,Apr 14,CHC,,CIN,L,2-3,GS-8,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.053,.250,.053,.303,7,1.15,-0.055,-0.49,0.00,-0.50,2B
78,8,Apr 15,CHC,,CIN,W,5-0,CG,4,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.091,.259,.091,.350,7,.36,0.023,-0.07,5.00,1.50,3B
79,9,Apr 17,CHC,,SDP,L,4-5,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.087,.250,.087,.337,9,2.48,-0.060,-0.15,0.00,-0.25,PH
80,10,Apr 18,CHC,,SDP,W,7-6,9-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.083,.241,.083,.325,5,1.71,-0.041,-0.15,0.00,-0.25,PH
81,11,Apr 19,CHC,,SDP,L,2-5,6-GF,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.077,.226,.077,.303,7,1.20,-0.060,-0.43,0.00,-0.50,PH 2B
