16 (15),Apr 18,PHI,@,COL,L,1-12,,3,1.0,0,0,0,0,0,P
20 (3),Apr 22,PHI,@,LAD,W,3-2,,3,1.0,0,0,0,0,0,P
22 (1),Apr 24,PHI,@,LAD,W,7-3,,7,2.0,0,1,0,1,0,P
24 (1),Apr 26,PHI,@,ARI,W,6-5,,1,0.1,0,0,0,0,0,P
27 (2),May 2,PHI,,WSN,L,3-5,,3,0.0,0,0,0,0,0,P
28,May 3,PHI,,WSN,W,7-2,,3,1.0,0,0,0,0,0,P
29,May 4,PHI,,WSN,W,1-0,,1,0.1,0,0,0,0,0,P
34 (4),May 9,PHI,@,NYM,W,3-2,,4,1.0,0,0,0,0,0,P
35,May 10,PHI,@,NYM,W,5-4,,6,1.0,0,1,0,1,0,P
37 (1),May 13,PHI,,LAA,L,3-4,,4,1.0,0,0,0,0,0,P
38,May 14,PHI,,LAA,L,0-3,,5,1.0,0,0,0,0,0,P
41 (2),May 18,PHI,,CIN,W,8-3,,6,1.1,0,0,0,0,0,P
42,May 20,PHI,@,MIA,W,6-5,,6,1.0,0,0,0,0,0,P
44 (1),May 22,PHI,@,MIA,L,3-4,,4,1.0,0,1,0,1,0,P
46 (1),May 24,PHI,,LAD,W,5-3,,3,1.0,0,0,0,0,0,P
48 (1),May 26,PHI,,COL,W,9-0,,2,0.1,0,0,0,0,0,P
50 (1),May 28,PHI,,COL,W,6-3,,2,1.0,0,1,0,1,1,P
52 (1),May 30,PHI,,NYM,W,6-5,,7,1.1,0,1,0,1,0,P
59 (6),Jun 6,PHI,@,CIN,W,8-0,,1,0.1,0,0,0,0,0,P
140 (80),Sep 5,PHI,@,WSN,W,9-8,,3,0.0,0,0,0,0,0,P
142 (1),Sep 7,PHI,@,WSN,L,2-3,,1,0.2,0,0,0,0,0,P
153 (10),Sep 18,PHI,@,SDP,L,3-7,,4,1.0,0,0,0,0,0,P
