1,Apr 4,HOU,@,PIT,W,5-2,CG,36,9.0,1,3,1,5,0,3B
2,Apr 5,HOU,@,PIT,W,11-2,GS,27,6.0,0,2,0,2,0,3B
3,Apr 6,HOU,@,PIT,L,1-10,CG,44,8.0,1,1,1,3,0,3B
4,Apr 7,HOU,,PHI,L,1-4,CG,35,9.0,0,2,0,2,0,3B
5,Apr 8,HOU,,PHI,W,8-5,CG,38,9.0,0,2,0,2,0,3B
6,Apr 9,HOU,,PHI,L,2-3,GS,14,4.0,0,1,0,1,0,3B
11 (4),Apr 15,HOU,@,SDP,L,3-5,CG,36,8.0,0,2,0,2,0,3B
13 (1),Apr 18,HOU,@,LAD,L,3-5,CG,35,8.0,1,0,0,1,0,3B
14,Apr 19,HOU,@,LAD,W,10-3,GS,20,5.0,0,0,0,0,0,3B
15,Apr 21,HOU,,SDP,L,2-7,CG,41,9.0,1,2,0,3,0,3B
16,Apr 22,HOU,,SDP,L,6-8,CG,46,10.0,0,0,0,0,0,3B
17,Apr 23,HOU,,SDP,L,10-11,GS,34,7.0,1,2,0,3,1,3B
18,Apr 25,HOU,,CHC,W,11-7,GF,13,3.0,0,1,0,1,0,PH 3B
19,Apr 26,HOU,,CHC,L,8-13,CG,53,9.0,2,0,1,3,0,3B
20,Apr 27,HOU,,CHC,L,3-12,GS,34,6.0,0,0,0,0,0,3B
21,Apr 28,HOU,@,MIL,W,7-0,CG,29,9.0,0,1,1,2,1,3B
22,Apr 29,HOU,@,MIL,W,10-3,CG,43,9.0,1,3,0,4,0,3B
23,Apr 30,HOU,@,MIL,L,3-4,CG,39,8.2,0,1,0,1,0,3B
24,May 1,HOU,@,MIL,W,5-0,CG,31,9.0,0,0,0,0,0,3B
25,May 2,HOU,@,CHC,L,1-11,CG,43,8.0,0,2,0,2,0,3B
26,May 3,HOU,@,CHC,L,3-4,CG,35,8.0,0,2,0,2,0,3B
27,May 4,HOU,@,CHC,W,6-2,CG,38,9.0,3,4,1,8,1,3B
29 (1),May 6,HOU,@,LAD,L,6-9,CG,37,8.0,1,1,0,2,0,3B
30,May 7,HOU,@,LAD,W,14-8,CG,48,10.0,1,1,0,2,0,3B
31,May 8,HOU,,COL,L,1-3,CG,38,9.0,1,2,0,3,0,3B
32,May 9,HOU,,COL,W,13-8,CG,38,9.0,1,3,0,4,0,3B
33,May 10,HOU,,COL,W,5-1,CG,34,9.0,2,1,0,3,0,3B
34,May 12,HOU,,CIN,L,3-7,CG,50,11.0,1,1,0,2,0,3B
35,May 13,HOU,,CIN,L,7-8,GF,13,2.0,0,0,0,0,0,PH 3B
36,May 14,HOU,,CIN,W,10-3,CG,41,9.0,1,0,0,1,0,3B
37,May 15,HOU,,CIN,L,3-4,CG,35,9.0,1,0,0,1,0,3B
38,May 16,HOU,@,MIL,L,5-6,CG,71,15.1,1,2,0,3,0,3B
39,May 19,HOU,@,MON,L,2-3,CG,38,9.1,1,0,0,1,0,3B
40,May 20,HOU,@,MON,L,7-8,CG,41,8.0,2,2,0,4,1,3B
41,May 21,HOU,@,MON,L,3-8,CG,38,8.0,0,3,0,3,1,3B
42,May 22 (1),HOU,@,MIL,L,9-10,CG,42,9.1,0,2,1,3,0,3B
43,May 22 (2),HOU,@,MIL,L,1-6,CG,36,8.0,1,5,2,8,1,3B
44,May 23,HOU,,PHI,W,10-2,CG,37,9.0,2,2,0,4,0,3B
45,May 24,HOU,,PHI,L,7-9,CG,42,9.0,1,0,0,1,0,3B
46,May 25,HOU,,PHI,W,10-6,CG,37,9.0,1,0,0,1,0,3B
47,May 26,HOU,,ATL,W,5-4,CG,41,10.0,1,1,0,2,0,3B
48,May 27,HOU,,ATL,L,5-6,CG,37,9.0,0,4,1,5,0,3B
49,May 28,HOU,,ATL,W,4-3,CG,39,9.0,1,2,0,3,0,3B
50,May 29,HOU,@,COL,L,7-8,CG,44,8.0,0,0,0,0,0,3B
51,May 30,HOU,@,COL,L,7-10,GS,26,5.0,1,0,0,1,0,3B
53 (1),Jun 2,HOU,,CHW,L,4-7,CG,38,9.0,1,1,0,2,0,3B
54,Jun 3,HOU,,CHW,W,6-1,CG,32,9.0,0,1,0,1,0,3B
55,Jun 4,HOU,,CHW,L,3-7,GS,38,8.0,0,1,0,1,0,3B
56,Jun 5,HOU,,MIN,W,8-2,GS,31,8.0,2,1,0,3,1,3B
57,Jun 6,HOU,,MIN,L,1-3,CG,35,9.0,1,2,0,3,0,3B
58,Jun 7,HOU,,MIN,L,0-2,CG,38,9.0,0,1,1,2,1,3B
59,Jun 8,HOU,@,LAD,L,2-5,CG,35,8.0,0,1,0,1,0,3B
60,Jun 9,HOU,@,SDP,W,7-6,CG,41,9.0,1,0,0,1,0,3B
61,Jun 10,HOU,@,SDP,L,3-13,GS,35,6.0,0,0,0,0,0,3B
62,Jun 11,HOU,@,SDP,L,1-4,CG,36,8.0,0,4,1,5,0,3B
63,Jun 13,HOU,@,COL,W,6-3,CG,43,9.0,0,3,0,3,0,3B
64,Jun 14,HOU,@,COL,W,8-4,CG,37,9.0,0,3,0,3,0,3B
65,Jun 15,HOU,@,COL,L,4-5,GS,8,2.0,0,0,0,0,0,3B
