1,7,Apr 26,PHI,,BRO,L,4-14,,,99,3.1,1,1,0,1,2,0,0,0.00,12,,,,,11,,,,,0,
2,10,Apr 29,PHI,@,NYG,W,9-8,,S(1),2,1.0,1,0,0,0,0,0,0,0.00,4,,,,,4,,,,,0,
3,18,May 7,PHI,,NYG,L,8-13,,,7,5.2,7,4,4,0,0,2,0,3.60,22,,,,,22,,,,,0,
4,20,May 9,PHI,,STL,L,7-9,,,1,1.0,0,0,0,0,0,0,0,3.27,2,,,,,2,,,,,0,
5,29,May 22,PHI,,PIT,L,6-13,,,12,0.2,2,0,0,0,0,0,0,3.09,3,,,,,3,,,,,0,
6,32,May 25,PHI,@,NYG,L,8-12,,,2,2.2,3,2,1,0,0,0,0,3.14,11,,,,,11,,,,,0,
7,37,May 29(1),PHI,@,BSN,L,7-10,,,3,3.0,4,3,2,5,0,0,0,3.63,17,,,,,12,,,,,0,
8,42,Jun 1,PHI,,NYG,L,8-22,,,2,3.0,5,4,2,2,1,0,1,3.98,17,,,,,13,,,,,0,
9,48,Jun 9,PHI,@,CIN,L,2-12,,,7,2.0,4,4,1,1,0,0,1,4.03,12,,,,,10,,,,,0,
10,134,Sep 14,PHI,@,STL,L,2-3,,,96,1.1,2,0,0,0,0,0,0,3.80,6,,,,,6,,,,,0,
11,138,Sep 17,PHI,@,STL,L,5-6,,L(0-1),2,0.0,1,2,2,1,0,0,0,4.56,2,,,,,1,,,,,0,
12,142,Sep 20(2),PHI,@,CIN,L,7-8,,L(0-2),2,2.2,5,1,1,0,0,0,0,4.44,12,,,,,12,,,,,0,
13,147,Sep 25,PHI,@,PIT,L,5-18,,,4,4.1,11,9,9,0,1,0,1,6.46,24,,,,,21,,,,,0,
14,149,Sep 27,PHI,,BSN,L,2-7,,,1,2.0,1,0,0,0,1,0,0,6.06,7,,,,,7,,,,,0,
15,154,Oct 6(1),PHI,@,BSN,L,4-5,,L(0-3),8,0.0,1,1,1,1,0,0,0,6.34,2,,,,,1,,,,,0,
